2003 YT1 , R ,  8248 ,    31 , 3 7 9.72 -73 45 58.97 , 0 0 0.0   0 0 0.06 , 17.763
1937 UB , R ,  6936 ,   395 , 18 29 57.78 -33 13 42.42 , 0 0 0.0   0 0 0.07 , 19.905
2004 DV24 , R ,  6734 ,   319 , 11 16 17.63 -37 5 18.31 , 0 0 0.02   0 0 0.35 , 19.213
1989 AC , R ,  7515 ,   595 , 19 45 2.92 -21 1 46.31 , 0 0 0.0   0 0 0.01 , 16.189
2009 DM45 , R ,  5751 ,   145 , 21 25 29.53 -59 30 33.73 , 0 0 14.0   0 3 29.96 , 17.099
2000 RS11 , R ,  5799 ,   468 , 22 43 4.68 -32 6 51.55 , 0 0 0.04   0 0 0.63 , 18.849
2014 WG365 , R ,  6948 ,    67 , 14 33 11.7 -70 8 53.88 , 0 0 0.21   0 0 3.09 , 19.524
2012 QG42 , R ,  6206 ,   460 , 19 45 35.51 -27 17 24.18 , 0 0 0.1   0 0 1.44 , 18.595
2013 BK18 , R ,  6352 ,   437 , 10 34 43.67 -27 3 22.61 , 0 0 0.24   0 0 3.54 , 18.518
2002 HK12 , R ,  6042 ,   578 , 14 8 32.93 -18 2 56.69 , 0 0 0.0   0 0 0.05 , 19.958
2014 YY8 , R ,  5654 ,   139 , 18 6 9.44 -58 21 14.58 , 0 0 0.39   0 0 5.83 , 19.617
6743 P-L , R ,  5680 ,   511 , 14 8 49.82 -26 16 36.66 , 0 0 0.06   0 0 0.9 , 17.819
2003 NW1 , R ,  5717 ,   589 , 17 42 1.11 -17 2 32.14 , 0 0 0.05   0 0 0.82 , 19.158
1990 MU , R ,  7574 ,   232 , 19 43 53.28 -50 12 25.7 , 0 0 0.0   0 0 0.04 , 19.086
1990 MU , R ,  8263 ,   241 , 2 11 58.88 -34 8 36.85 , 0 0 0.01   0 0 0.16 , 16.989
1990 MU , R ,  8264 ,   355 , 2 11 58.88 -34 8 36.85 , 0 0 0.01   0 0 0.16 , 16.989
2015 FQ117 , R ,  5628 ,   277 , 16 47 51.3 -44 34 48.9 , 0 0 0.6   0 0 8.97 , 19.669
2001 XU10 , R ,  5599 ,   496 , 8 50 42.36 -26 50 11.51 , 0 0 0.02   0 0 0.32 , 18.775
2005 PJ2 , R ,  5754 ,   523 , 18 49 46.5 -24 20 24.76 , 0 0 0.06   0 0 0.84 , 18.26
1981 ET3 , R ,  5654 ,   139 , 17 50 6.49 -60 41 44.41 , 0 0 0.02   0 0 0.24 , 17.03
