1999 AN10 ,XN , 07051 ,   56  , 5 46 46.5 72 26 23.5 , 0 0 0.02   0 0 0.23 , 22.414
2000 EK26 ,XF , 02357 ,  723  , 14 32 7.41 11 0 51.26 , 0 0 0.03   0 0 0.5 , 21.81
2000 EK26 ,XF , 02385 ,  722  , 14 19 40.25 12 30 57.24 , 0 0 0.03   0 0 0.52 , 21.825
2000 EK26 ,XF , 05077 ,  798  , 15 34 58.09 2 44 40.38 , 0 0 0.03   0 0 0.52 , 23.126
2011 AG5 ,XJ , 04294 ,  688  , 3 2 42.88 9 43 2.5 , 0 0 0.21   0 0 3.1 , 23.835
2011 AG5 ,XJ , 04318 ,  688  , 2 54 44.72 8 48 22.43 , 0 0 0.22   0 0 3.27 , 23.582
2018 LK ,XF , 01173 ,  584  , 16 8 22.21 17 18 5.26 , 0 0 0.82   0 0 12.29 , 21.655
2017 YZ1 ,XJ , 02644 ,  193  , 23 59 5.36 47 29 38.0 , 0 0 0.04   0 0 0.54 , 22.318
2017 YZ1 ,XJ , 02732 ,  240  , 23 27 41.31 48 4 1.63 , 0 0 0.04   0 0 0.6 , 22.227
2017 YZ1 ,XJ , 02741 ,  291  , 23 25 14.32 47 59 26.66 , 0 0 0.04   0 0 0.6 , 22.223
2017 YZ1 ,XF , 02794 ,  290  , 22 47 40.99 44 13 40.4 , 0 0 0.04   0 0 0.63 , 22.255
2017 YZ1 ,XJ , 04780 ,  289  , 22 9 57.49 43 11 27.82 , 0 0 0.05   0 0 0.7 , 21.743
2006 SU49 ,XJ , 00995 ,  611  , 1 19 2.93 16 54 52.42 , 0 0 0.09   0 0 1.32 , 18.691
2006 SU49 ,XJ , 04293 ,  612  , 1 35 45.31 17 52 40.73 , 0 0 0.06   0 0 0.92 , 19.347
2006 SU49 ,XJ , 04310 ,  612  , 1 28 25.59 17 26 45.02 , 0 0 0.06   0 0 0.95 , 19.14
2004 MX2 ,XJ , 03308 ,  727  , 15 51 33.36 9 39 38.34 , 0 0 0.06   0 0 0.94 , 21.116
2002 NT7 ,XJ , 01929 ,  666  , 19 37 56.58 14 0 12.92 , 0 0 0.01   0 0 0.12 , 20.339
2002 NT7 ,XJ , 01940 ,  666  , 19 32 1.13 13 44 16.33 , 0 0 0.01   0 0 0.13 , 20.217
2000 QK130 ,XN , 06461 ,  620  , 4 8 30.08 15 40 38.46 , 0 0 0.02   0 0 0.29 , 22.367
1998 SC15 ,XN , 06365 ,  668  , 20 28 4.2 13 51 40.5 , 0 0 0.02   0 0 0.26 , 20.827
1998 SC15 ,XF , 06807 ,  504  , 11 50 4.3 24 4 14.95 , 0 0 0.05   0 0 0.71 , 19.337
2011 JA ,XJ , 05245 ,  144  , 21 4 48.91 57 55 24.64 , 0 0 0.05   0 0 0.79 , 23.944
2015 RE36 ,XN , 05964 ,  753  , 0 43 43.79 4 46 24.78 , 0 0 0.35   0 0 5.26 , 21.429
2003 CR20 ,XJ , 04378 ,  619  , 4 7 58.89 14 12 6.88 , 0 0 0.01   0 0 0.22 , 23.346
2013 ED28 ,XJ , 00440 ,  565  , 9 29 42.03 19 27 43.7 , 0 0 0.23   0 0 3.49 , 22.854
1997 XF11 ,XF , 06168 ,  708  , 9 45 23.38 7 36 43.09 , 0 0 0.01   0 0 0.1 , 19.361
2013 QR1 ,XN , 05916 ,  535  , 23 17 32.55 27 34 20.28 , 0 0 47.57   0 11 53.5 , 23.21
2012 SW20 ,XJ , 02659 ,  246  , 2 9 39.91 44 21 41.58 , 0 0 0.32   0 0 4.78 , 19.235
2012 SW20 ,XJ , 02734 ,  352  , 1 23 21.8 32 11 12.66 , 0 0 0.26   0 0 3.85 , 19.185
2012 SW20 ,XN , 05561 ,  686  , 2 30 3.14 10 55 26.18 , 0 0 0.05   0 0 0.7 , 22.594
2001 VK5 ,XF , 06135 ,  163  , 7 26 53.64 53 42 15.7 , 0 0 0.01   0 0 0.18 , 20.87
2011 SR5 ,XJ , 02164 ,  353  , 1 50 55.74 37 28 59.92 , 0 0 1.2   0 0 18.05 , 15.922
2011 SR5 ,XJ , 03384 ,  457  , 18 23 24.28 29 23 31.06 , 0 0 0.05   0 0 0.78 , 23.362
2011 SR5 ,XJ , 03413 ,  457  , 18 14 57.52 27 23 24.97 , 0 0 0.05   0 0 0.76 , 23.452
