1994 PC1 , J ,  6114 ,   535 , 23 10 34.77 -24 30 5.9 , 0 0 0.02   0 0 0.26 , 18.484 , 23.5
2000 QK130 , I , 18957 ,   745 , 22 11 29.76 -10 56 37.18 , 0 0 0.02   0 0 0.28 , 19.545 , 20.5
2000 QK130 , I , 18963 ,   746 , 22 11 52.95 -11 12 34.78 , 0 0 0.02   0 0 0.28 , 19.629 , 20.5
1997 XF11 , J ,  5777 ,   857 , 23 24 36.62 -2 13 38.71 , 0 0 0.01   0 0 0.11 , 18.219 , 23.583683487038268
2002 LY45 , J ,  6990 ,   735 , 18 39 10.57 -8 7 47.96 , 0 0 0.02   0 0 0.26 , 19.943 , 23.43265577402143
1993 KH ,OR , 15560 ,   650 , 14 7 53.16 -16 59 3.41 , 0 0 0.02   0 0 0.34 , 17.307 , 21.95276429888825
2002 EZ11 ,OR , 15462 ,   651 , 14 36 0.28 -12 48 17.17 , 0 0 0.01   0 0 0.17 , 19.861 , 22.0
2016 CB194 ,OR , 16650 ,   401 , 21 1 4.75 -32 40 29.42 , 0 0 0.41   0 0 6.21 , 19.351 , 22.043452632824014
1999 JT6 , I , 19282 ,  609A , 0 46 55.59 -18 0 12.46 , 0 0 0.02   0 0 0.28 , 16.884 , 20.527634336954936
2003 YT1 ,OR , 15523 ,   864 , 1 46 23.25 -2 39 29.16 , 0 0 0.0   0 0 0.01 , 19.108 , 21.95276429888825
1998 KM3 , J , 10231 ,   718 , 12 56 33.54 -12 3 3.31 , 0 0 0.04   0 0 0.56 , 19.87 , 23.5
2003 MH4 , I , 14814 ,   777 , 8 32 27.52 -7 7 9.44 , 0 0 0.1   0 0 1.42 , 18.041 , 20.5
2020 NK1 , I , 15061 ,   108 , 21 46 17.32 -65 18 46.44 , 0 0 45.21   0 11 18.09 , 18.628 , 20.5
2006 JF42 , J ,  9309 ,   855 , 10 47 9.52 -1 12 59.76 , 0 0 0.09   0 0 1.32 , 18.093 , 23.5
1982 DB ,OR , 15447 ,   517 , 16 42 25.69 -25 25 46.52 , 0 0 0.0   0 0 0.07 , 19.543 , 22.0
1982 DB ,OR , 15557 ,   582 , 15 22 37.06 -22 11 19.5 , 0 0 0.01   0 0 0.1 , 18.882 , 22.0
1947 XC ,OR , 15749 ,   598 , 21 10 44.21 -19 50 34.58 , 0 0 0.01   0 0 0.11 , 19.74 , 22.0
2002 FB3 , I , 15741 ,   890 , 10 30 42.14 1 52 18.62 , 0 0 0.01   0 0 0.14 , 19.218 , 20.656173420760375
2006 DU62 , J ,  8202 ,   824 , 12 18 8.55 2 40 40.08 , 0 0 0.04   0 0 0.62 , 19.658 , 23.5
2001 SG286 , I ,  7729 ,   272 , 14 24 49.52 -44 35 25.91 , 0 0 0.31   0 0 4.7 , 17.53 , 20.5
1999 MN , J ,  9351 ,   743 , 21 32 5.57 -9 49 49.3 , 0 0 0.1   0 0 1.53 , 17.622 , 23.5
1993 EA ,OR , 17016 ,   863 , 13 28 14.36 1 53 19.54 , 0 0 0.01   0 0 0.12 , 18.555 , 22.12113751626007
2004 DV24 ,OR , 14802 ,   495 , 8 34 25.29 -23 11 53.2 , 0 0 0.02   0 0 0.35 , 18.663 , 22.083683487038268
2004 DV24 ,OR , 15523 ,   864 , 1 33 16.74 -1 25 56.68 , 0 0 0.02   0 0 0.29 , 18.916 , 21.95276429888825
2002 QF15 , I ,  7753 ,   880 , 7 11 56.67 0 57 12.06 , 0 0 0.01   0 0 0.08 , 17.836 , 20.5
2014 YS34 , J ,  9343 ,   876 , 17 48 6.29 0 40 32.59 , 0 0 0.52   0 0 7.74 , 19.469 , 23.5
2007 AE12 ,OR , 16627 ,   719 , 13 27 52.24 -10 27 16.02 , 0 0 0.12   0 0 1.73 , 17.243 , 22.043452632824014
1999 FA , J ,  4573 ,   157 , 4 14 26.08 -54 24 40.93 , 0 0 0.5   0 0 7.55 , 18.529 , 23.583683487038268
1989 AC , J ,  2335 ,   524 , 19 11 3.38 -22 3 17.14 , 0 0 0.0   0 0 0.01 , 19.213 , 23.2798859261804
2016 CA136 , J ,  9113 ,   859 , 0 7 50.88 1 5 44.63 , 0 0 0.09   0 0 1.38 , 19.474 , 23.5
