1999 AN10 , U , 15979 ,   854 , 22 29 3.7 -2 19 27.26 , 0 0 0.0   0 0 0.06 , 20.936 , 1003.8202956665074
1999 AN10 , U , 16003 ,   856 , 22 50 24.64 2 27 44.28 , 0 0 0.0   0 0 0.06 , 21.229 , 1003.9752640521396
2016 FG60 , J ,  1503 ,   393 , 17 39 46.87 -37 18 5.8 , 0 0 2.35   0 0 35.29 , 23.25 , 23.7201140738196
2000 EK26 , J ,  6121 ,   666 , 19 44 14.61 -15 9 0.11 , 0 0 0.08   0 0 1.2 , 21.825 , 23.45276429888825
2000 EK26 , X ,  7763 ,    M5 , 15 30 32.9 2 11 34.87 , 0 0 0.04   0 0 0.63 , 23.562 , 1001.9726890629795
2000 EK26 , V ,  9641 ,    N2 , 20 9 25.23 -42 52 18.77 , 0 0 0.11   0 0 1.66 , 19.589 , 21.247425010840047
2000 EK26 , V ,  9642 ,    N2 , 20 9 25.72 -43 2 13.42 , 0 0 0.11   0 0 1.65 , 19.589 , 21.247425010840047
2000 EK26 , V ,  9643 ,    N2 , 20 9 25.61 -43 2 27.35 , 0 0 0.11   0 0 1.65 , 19.589 , 21.247425010840047
2000 EK26 , V ,  9649 ,    N2 , 20 9 29.58 -43 12 31.68 , 0 0 0.11   0 0 1.65 , 19.588 , 21.247425010840047
2000 EK26 , V ,  9650 ,    N2 , 20 9 29.56 -43 12 45.0 , 0 0 0.11   0 0 1.65 , 19.588 , 21.247425010840047
2000 EK26 , V ,  9657 ,    N2 , 20 9 37.21 -43 22 43.97 , 0 0 0.11   0 0 1.64 , 19.587 , 21.247425010840047
2000 EK26 , B ,  9709 ,    N2 , 20 14 58.08 -45 8 48.34 , 0 0 0.11   0 0 1.66 , 19.549 , 21.40359843160042
2000 EK26 , U ,  9713 ,    N2 , 20 18 34.89 -45 46 47.6 , 0 0 0.11   0 0 1.7 , 19.525 , 1003.5989765575596
2011 SM68 , J ,   195 ,   471 , 23 48 39.48 -29 22 4.8 , 0 0 0.1   0 0 1.55 , 20.61 , 23.123712505420023
2011 SM68 , J ,  2598 ,   286 , 21 12 2.64 -43 8 52.8 , 0 0 0.05   0 0 0.76 , 23.136 , 23.5
2011 SM68 , J ,  2611 ,   342 , 21 4 24.07 -42 30 56.52 , 0 0 0.05   0 0 0.72 , 23.219 , 23.5
2011 SM68 , U ,  7148 ,   345 , 22 17 43.2 -41 42 46.22 , 0 0 0.07   0 0 1.02 , 22.679 , 1003.5989765575596
2011 SM68 , R ,  7866 ,   220 , 13 36 34.15 -48 59 23.93 , 0 0 0.25   0 0 3.7 , 21.251 , 22.027310937020445
2011 SM68 , U , 17170 ,   409 , 0 12 7.66 -27 23 2.0 , 0 0 0.06   0 0 0.85 , 22.513 , 1003.8190906313791
2011 SM68 , U , 17315 ,   466 , 21 47 7.08 -32 51 27.65 , 0 0 0.03   0 0 0.48 , 22.029 , 1003.8190906313791
2009 WM1 , J ,  3898 ,    94 , 11 58 30.72 -63 24 31.57 , 0 0 0.27   0 0 4.1 , 21.849 , 23.40102344244047
2009 WM1 ,IF , 11706 ,  L309 , 13 49 12.59 -63 49 11.32 , 0 0 0.1   0 0 1.52 , 21.76 , 1002.62628749458
2009 WM1 ,HE , 11707 ,  L309 , 13 49 11.73 -63 49 19.24 , 0 0 0.1   0 0 1.52 , 21.76 , 1004.3515515467195
2009 WM1 ,IF , 11708 ,  L309 , 13 49 4.2 -63 50 13.88 , 0 0 0.1   0 0 1.52 , 21.756 , 1002.62628749458
2009 WM1 ,IF , 11715 ,  L311 , 13 48 38.53 -63 53 31.56 , 0 0 0.1   0 0 1.53 , 21.739 , 1002.62628749458
2009 WM1 ,HE , 11716 ,  L311 , 13 48 37.56 -63 53 38.33 , 0 0 0.1   0 0 1.53 , 21.738 , 1004.3515515467195
2009 WM1 ,IF , 11717 ,  L311 , 13 48 28.92 -63 54 25.27 , 0 0 0.1   0 0 1.54 , 21.734 , 1002.62628749458
2009 WM1 ,HA , 19065 ,  MC39 , 6 10 52.91 -61 36 58.18 , 0 0 0.1   0 0 1.55 , 20.311 , 1004.172588483804
2009 WM1 ,OR , 19066 ,  MC39 , 6 10 33.77 -61 36 53.53 , 0 0 0.1   0 0 1.55 , 20.317 , 21.247425010840047
2003 EE16 , J ,  4260 ,    N3 , 12 40 13.39 -3 13 52.14 , 0 0 0.1   0 0 1.51 , 23.165 , 23.62113751626007
2003 EE16 , J ,  6702 , AS151 , 11 55 53.48 1 12 42.52 , 0 0 0.25   0 0 3.74 , 19.373 , 23.343826579239625
2003 EE16 , J ,  8202 ,   824 , 12 9 0.25 0 44 0.38 , 0 0 0.04   0 0 0.64 , 23.417 , 23.5
2003 EE16 , J ,  8488 ,   789 , 12 43 7.94 -3 29 20.9 , 0 0 0.08   0 0 1.2 , 22.587 , 23.5
2011 AG5 , R , 12025 ,   590 , 18 23 3.39 -18 8 22.2 , 0 0 0.98   0 0 14.7 , 21.147 , 1003.2226890629795
2021 AV7 , J ,  3786 ,   549 , 4 3 18.32 -22 32 35.3 , 0 5 52.68   1 28 10.21 , 23.608 , 23.62113751626007
2018 LK , R ,  3299 , VIRGO , 12 21 12.93 12 52 19.42 , 0 0 0.04   0 0 0.59 , 22.795 , 1003.8541265358795
2017 YZ1 , J ,  8196 ,   891 , 10 43 30.56 0 54 19.33 , 0 0 0.04   0 0 0.61 , 23.244 , 23.5
1994 PC1 , J ,   940 ,   200 , 3 25 3.32 -47 6 19.04 , 0 0 0.02   0 0 0.29 , 19.065 , 23.2798859261804
1994 PC1 ,UB ,  3385 ,   SGP , 0 51 25.92 -25 57 1.87 , 0 0 0.01   0 0 0.21 , 19.381 , 1002.62628749458
1994 PC1 ,UB ,  3392 ,   SGP , 0 52 39.72 -26 22 3.0 , 0 0 0.01   0 0 0.21 , 19.364 , 1002.62628749458
1994 PC1 ,UB ,  3400 ,   SGP , 0 53 50.8 -26 47 1.97 , 0 0 0.01   0 0 0.21 , 19.348 , 1002.62628749458
1994 PC1 ,UB ,  3413 ,   SGP , 0 56 10.68 -27 39 5.51 , 0 0 0.01   0 0 0.22 , 19.314 , 1002.62628749458
1994 PC1 ,UB ,  3422 ,   SGP , 0 57 18.37 -28 5 47.69 , 0 0 0.01   0 0 0.22 , 19.298 , 1002.62628749458
1994 PC1 ,UB ,  3429 ,   SGP , 0 58 24.49 -28 32 56.51 , 0 0 0.01   0 0 0.22 , 19.281 , 1002.62628749458
1994 PC1 ,UB ,  3434 ,   SGP , 1 0 20.77 -29 23 15.86 , 0 0 0.01   0 0 0.22 , 19.251 , 1002.62628749458
1994 PC1 ,UB ,  3867 ,   SGP , 0 39 53.63 -30 22 16.18 , 0 0 0.01   0 0 0.15 , 19.828 , 1002.62628749458
1994 PC1 , J ,  6114 ,   535 , 23 10 34.77 -24 30 5.9 , 0 0 0.02   0 0 0.26 , 18.484 , 23.5
1994 PC1 , J , 14068 ,   838 , 16 51 21.26 -1 42 17.71 , 0 0 0.01   0 0 0.11 , 18.913 , 23.59897655755953
1994 PC1 , R , 16224 ,   287 , 21 29 37.13 -42 17 15.43 , 0 0 0.02   0 0 0.25 , 17.789 , 23.2201140738196
1994 PC1 , J , 16230 ,   287 , 21 27 19.35 -42 49 16.79 , 0 0 0.02   0 0 0.24 , 17.82 , 23.829051793468228
1994 PC1 , I , 16828 ,   833 , 15 11 33.95 -2 3 27.68 , 0 0 0.01   0 0 0.08 , 19.295 , 20.5
2017 VW13 , U , 18072 ,  HDFS , 22 49 59.83 -61 16 12.94 , 49 20 25.49   740 6 22.33 , 20.484 , 1004.1953781259591
2015 AM45 ,WI , 13612 ,   854 , 10 20 57.7 -1 18 19.98 , 0 0 0.15   0 0 2.19 , 23.551 , 1004.1953781259591
2015 AM45 ,WI , 13620 ,   854 , 10 16 2.41 0 44 15.43 , 0 0 0.14   0 0 2.16 , 23.675 , 1004.1953781259591
2016 NG15 , R ,  7462 , ORI-S , 5 40 14.6 -9 40 51.67 , 0 2 25.9   0 36 28.43 , 20.922 , 23.0
2006 SU49 , J ,  1190 , IWAB8 , 23 29 53.68 -1 1 38.06 , 0 0 0.41   0 0 6.12 , 23.004 , 23.2798859261804
2006 SU49 , V ,  3233 ,   512 , 14 43 40.0 -22 46 33.49 , 0 0 0.74   0 0 11.08 , 19.516 , 21.126287494579977
2006 SU49 , R ,  3234 ,   512 , 14 43 40.36 -22 46 25.86 , 0 0 0.74   0 0 11.08 , 19.517 , 1003.8190906313791
2006 SU49 , V ,  3235 ,   512 , 14 43 41.58 -22 45 57.28 , 0 0 0.74   0 0 11.06 , 19.521 , 21.126287494579977
