1950 DA , R ,  7230 ,   673 , 21 55 43.26 -16 52 27.77 , 0 0 0.01   0 0 0.11 , 19.261 , 23.057196863200843
1950 DA , J ,  7231 ,   673 , 21 55 41.03 -16 51 41.83 , 0 0 0.01   0 0 0.11 , 19.265 , 23.656173420760375
1950 DA ,OR , 17505 ,   859 , 23 51 54.46 -2 20 13.7 , 0 0 0.0   0 0 0.04 , 21.211 , 22.0
1950 DA ,OR , 17542 ,   860 , 0 31 24.49 2 57 45.14 , 0 0 0.0   0 0 0.04 , 21.548 , 22.0
1999 RQ36 , J ,  2375 ,   341 , 20 33 26.49 -37 39 59.94 , 0 0 0.01   0 0 0.16 , 21.04 , 23.5
1999 RQ36 , R ,  3334 , M 104 , 12 39 39.78 -12 50 32.82 , 0 0 0.0   0 0 0.07 , 23.096 , 1003.8190906313791
1999 RQ36 , J ,  7707 ,    N1 , 18 37 2.39 -34 23 20.0 , 0 0 0.01   0 0 0.1 , 21.948 , 22.105758226622413
1999 RQ36 , J ,  8468 ,    N1 , 8 24 44.07 20 37 17.0 , 0 0 0.01   0 0 0.13 , 21.092 , 23.543452632824014
1999 RQ36 , J ,  8470 ,    N1 , 8 31 26.31 19 43 32.81 , 0 0 0.01   0 0 0.13 , 21.159 , 23.5
1979 XB , J ,  3507 ,   287 , 21 31 51.65 -43 57 57.82 , 8 22 14.53   125 33 37.92 , 23.511 , 23.62113751626007
1979 XB , J ,  5523 ,   420 , 4 24 4.72 -29 36 8.53 , 0 0 0.47   0 0 7.07 , 15.24 , 23.543452632824014
1979 XB ,UV ,  5526 ,       , 3 44 58.52 -35 4 16.07 , 0 0 0.42   0 0 6.36 , 14.797 , 1002.62628749458
1979 XB ,UV ,  5528 ,    NS , 3 9 30.79 -38 50 16.73 , 0 0 0.64   0 0 9.59 , 14.619 , 1002.62628749458
1979 XB ,UV ,  5529 ,    NS , 2 16 48.48 -42 40 18.08 , 0 0 0.35   0 0 5.25 , 14.555 , 1002.25
1979 XB , R ,  5571 ,   843 , 18 28 18.48 2 48 57.35 , 0 0 7.07   0 1 46.07 , 22.0 , 22.027310937020445
1979 XB , J ,  6085 ,   401 , 20 55 51.26 -36 57 7.49 , 1 12 51.7   18 12 55.45 , 21.415 , 23.5
1979 XB , J , 13611 ,   738 , 19 28 54.21 -12 22 13.84 , 78 49 8.05   1182 17 0.8 , 20.8 , 22.747425010840047
2007 FT3 , J ,  6794 , AS242 , 23 41 43.49 -2 31 12.43 , 18 52 32.69   283 8 10.28 , 22.107 , 23.52216095870054
2007 FT3 , J ,  6811 , AS243 , 23 54 54.08 0 3 11.95 , 18 17 7.31   274 16 49.69 , 22.168 , 23.5
2007 FT3 , J ,  6828 , AS213 , 0 7 48.86 2 21 52.42 , 17 42 38.43   265 39 36.47 , 22.228 , 23.5
2007 FT3 , V , 13017 , SA107 , 15 46 24.22 0 53 52.94 , 64 59 14.2   974 48 32.95 , 20.161 , 21.40359843160042
2004 MN4 , J ,  1875 ,  NS F , 11 59 55.53 -1 54 21.02 , 0 0 0.0   0 0 0.05 , 22.31 , 23.583683487038268
2004 MN4 , J ,  8237 ,   894 , 11 35 7.69 0 30 20.27 , 0 0 0.0   0 0 0.02 , 21.961 , 23.123712505420023
2004 MN4 , U , 11361 ,   823 , 11 57 12.37 0 1 40.62 , 0 0 0.0   0 0 0.0 , 21.963 , 1004.3515515467195
2004 MN4 , J , 12757 ,   653 , 15 30 58.15 -15 47 22.02 , 0 0 0.0   0 0 0.0 , 21.153 , 22.747425010840047
2004 MN4 ,OR , 16301 ,  93SC , 12 3 47.22 0 44 17.2 , 0 0 0.0   0 0 0.0 , 21.918 , 22.0
2014 MR26 , J ,  6990 ,   735 , 18 32 27.31 -9 8 47.98 , 235 26 37.63   3531 39 24.5 , 22.28 , 23.43265577402143
2014 MR26 ,VR ,  8814 ,   656 , 16 26 45.11 -13 41 1.64 , 77 47 28.84   1166 52 12.54 , 22.36 , 1003.0025749891599
2014 MR26 , U , 14348 , SA107 , 15 46 8.97 -2 15 6.73 , 140 32 22.25   2108 5 33.71 , 21.84 , 1004.1953781259591
2014 MR26 , J , 14356 , SA107 , 15 35 50.21 -1 39 44.14 , 143 10 27.56   2147 36 53.39 , 21.874 , 23.62113751626007
2014 MR26 , V , 14357 , SA107 , 15 35 44.26 -1 39 26.24 , 143 11 17.72   2147 49 25.85 , 21.875 , 22.0
2001 CA21 , V ,  5485 ,    N1 , 21 52 16.52 -16 5 20.62 , 574 14 24.31   8613 36 4.6 , 20.261 , 21.247425010840047
2001 CA21 , V ,  5486 ,    N1 , 21 52 25.89 -16 4 21.43 , 573 55 24.06   8608 51 0.9 , 20.261 , 21.247425010840047
2001 CA21 ,VJ , 10782 , COM H , 20 34 36.04 -16 27 3.38 , 143 13 2.37   2148 15 35.56 , 20.831 , 1000.12628749458
2001 CA21 ,VJ , 10784 , COM H , 20 41 34.61 -16 19 22.69 , 139 3 9.52   2085 47 22.73 , 20.761 , 1000.12628749458
2001 CA21 ,OR , 19090 , VIRGO , 12 26 0.54 13 51 38.99 , 0 0 19.79   0 4 56.84 , 18.96 , 22.0
2001 CA21 ,OR , 19094 , VIRGO , 12 31 12.68 13 49 18.91 , 0 0 16.96   0 4 14.4 , 18.868 , 22.0
2016 NL56 , R ,  7933 ,    N2 , 19 27 52.79 -31 11 44.92 , 20 10 50.26   302 42 33.86 , 21.098 , 22.027310937020445
2016 NL56 , J , 10277 ,   456 , 18 7 43.31 -31 47 13.13 , 18 37 18.81   279 19 42.15 , 22.081 , 22.527310937020445
2016 NL56 , U , 10278 ,   456 , 18 7 41.57 -31 47 13.96 , 18 37 19.84   279 19 57.6 , 22.081 , 1003.6911244954922
2016 NL56 ,OR , 16004 ,   860 , 0 10 10.25 1 13 48.14 , 42 43 58.11   640 59 31.69 , 20.689 , 22.0
2016 NL56 , J , 16776 ,   457 , 18 16 45.45 -28 51 3.06 , 2 2 47.99   30 41 59.86 , 21.012 , 23.123712505420023
2001 VB , J , 14515 ,   818 , 22 11 56.1 -4 3 15.8 , 4 53 21.4   73 20 21.0 , 23.504 , 23.62113751626007
2015 ME131 , J ,  1188 , IWAB5 , 21 38 9.54 -1 36 4.07 , 0 0 1.34   0 0 20.09 , 21.499 , 23.2798859261804
2015 ME131 , J , 15984 ,   856 , 22 57 20.82 0 48 4.14 , 0 0 1.02   0 0 15.33 , 21.268 , 23.583683487038268
2016 WN55 ,VJ ,  7368 ,    B3 , 13 18 52.59 0 12 37.51 , 39 21 28.94   590 22 14.03 , 21.587 , 1002.25
2016 WN55 , J ,  9311 ,   865 , 1 56 14.82 2 34 51.78 , 67 2 26.69   1005 36 40.41 , 21.719 , 23.5
2016 WN55 , U , 16939 ,   856 , 23 6 18.44 0 17 6.25 , 44 46 50.66   671 42 39.97 , 22.673 , 1003.8190906313791
2007 DX40 , U , 11361 ,   823 , 0 6 35.49 1 21 48.71 , 250 3 44.85   3750 56 12.7 , 23.142 , 1004.3515515467195
2017 RZ17 , J ,  2540 ,   403 , 21 40 46.39 -33 43 13.55 , 1363 54 28.89   20458 37 13.3 , 23.152 , 23.5
2017 RZ17 , J ,  8212 ,   825 , 12 51 12.33 0 10 47.1 , 1133 14 29.39   16998 37 20.8 , 23.377 , 23.5
2017 RZ17 ,BR , 15488 , JUPN6 , 0 43 58.76 0 55 34.61 , 833 13 18.6   12498 19 39.0 , 23.86 , 1003.3788624837399
2019 LW4 , J ,  3774 ,   413 , 1 26 6.63 -31 38 44.81 , 0 32 10.6   8 2 39.02 , 23.235 , 23.656173420760375
2011 BL45 , U , 14746 ,  1058 , 6 18 48.46 14 45 8.53 , 0 40 16.9   10 4 13.53 , 23.026 , 1003.5989765575596
2011 BL45 , U , 14747 ,  1058 , 6 18 41.17 14 47 25.4 , 0 40 13.87   10 3 28.0 , 23.029 , 1003.5989765575596
2010 MY112 , J ,  1392 ,  NS11 , 2 7 53.55 -1 8 41.17 , 834 57 59.66   12524 29 54.9 , 0.0 , 23.2798859261804
2010 MY112 , R ,  6074 ,   390 , 16 14 42.18 -33 35 57.59 , 3158 9 46.87   47372 26 43.0 , 0.0 , 22.027310937020445
2010 MY112 , I ,  6075 ,   390 , 16 14 31.25 -33 37 57.79 , 3157 38 1.27   47364 30 19.0 , 0.0 , 20.5
2010 MY112 ,OR , 17056 ,   866 , 2 10 7.62 -2 33 36.94 , 363 43 47.65   5455 56 54.7 , 0.0 , 22.12113751626007
2010 MY112 , R , 17337 ,  SA94 , 14 52 24.22 0 19 4.01 , 166 27 24.96   2496 51 14.47 , 0.0 , 1003.2226890629795
2010 MY112 ,OR , 17813 ,   832 , 15 10 41.13 1 29 49.99 , 152 38 47.37   2289 41 50.6 , 0.0 , 22.0
2013 GM3 , J , 11721 ,   999 , 10 35 47.73 10 3 51.16 , 24 25 37.32   366 24 19.8 , 22.094 , 23.829051793468228
2010 DG77 ,HA , 17991 , H 183 , 15 13 3.5 -57 28 18.19 , 3624 8 34.47   54362 8 37.0 , 23.088 , 1004.1953781259591
2018 LF16 , R ,  4914 ,   861 , 0 36 42.12 0 46 38.89 , 756 23 55.53   11345 58 53.0 , 22.829 , 23.0
2018 LF16 , J , 12437 ,   926 , 10 20 3.02 5 7 41.41 , 371 51 30.89   5577 52 43.3 , 23.802 , 23.829051793468228
2019 WU2 ,VJ ,  8265 ,    B2 , 0 38 40.49 -1 21 0.0 , 8 31 34.78   127 53 41.64 , 22.424 , 1002.25
2010 XB73 ,VF , 16788 ,   891 , 22 28 52.62 0 58 55.99 , 1464 34 24.52   21968 36 7.8 , 22.41 , 1003.87628749458
2006 CM10 , J , 13865 ,   829 , 13 54 27.92 -2 51 46.48 , 4 2 57.29   60 44 19.36 , 23.172 , 23.543452632824014
2011 CW46 , J ,  7500 ,   N16 , 12 43 30.13 -5 30 25.49 , 60 11 13.22   902 48 18.26 , 22.276 , 23.427510066277893
2014 MV67 ,OR ,  8601 ,   861 , 12 30 21.19 1 44 51.79 , 5054 57 4.93   75824 16 14.0 , 20.769 , 22.0
2014 MV67 , U , 17656 ,   589 , 17 54 26.52 -17 58 10.96 , 656 14 25.77   9843 36 26.6 , 23.481 , 1003.8190906313791
2006 CD , U ,  5707 ,    N6 , 0 28 9.88 -2 35 37.93 , 554 16 18.4   8314 4 36.0 , 23.251 , 1004.1953781259591
2006 CD ,VF , 10487 ,   287 , 21 40 17.04 -43 41 30.26 , 1495 53 17.45   22438 19 21.8 , 20.665 , 1003.9027741184174
2006 CD ,VF , 10491 ,   287 , 21 40 38.3 -43 45 46.66 , 1491 43 42.95   22375 55 44.3 , 20.671 , 1003.9752640521396
2006 CD ,OI , 10499 ,   287 , 21 42 11.39 -43 54 47.48 , 1479 55 54.34   22198 58 35.1 , 20.686 , 1003.9752640521396
2017 QC36 , J ,  4253 ,    N1 , 1 17 19.49 0 28 6.38 , 133 13 7.16   1998 16 47.35 , 23.06 , 23.5
2017 QC36 , J ,  7674 ,   855 , 22 40 44.14 1 2 37.54 , 89 40 41.67   1345 10 25.11 , 23.248 , 23.45276429888825
2016 NL39 , J ,  2466 ,   592 , 18 56 8.92 -17 21 17.78 , 38 49 4.91   582 16 13.69 , 22.306 , 23.2798859261804
2018 YH2 , J ,  7899 ,   728 , 16 12 1.61 -10 29 46.14 , 599 50 12.91   8997 33 13.7 , 23.14 , 23.5
2010 MZ112 ,HA ,  1251 ,   227 , 16 43 1.01 -49 23 58.16 , 8595 8 16.4   128927 4 6.0 , 0.0 , 1002.8464015683995
2010 MZ112 , J ,  4829 ,   439 , 11 37 41.46 -30 10 35.47 , 2980 31 25.2   44707 51 18.0 , 0.0 , 23.583683487038268
2010 MZ112 , J ,  5030 ,   568 , 10 24 41.6 -20 44 38.08 , 2503 23 28.33   37550 52 5.0 , 0.0 , 23.543452632824014
2010 MZ112 , R ,  6948 ,    N1 , 9 30 36.84 -6 41 11.22 , 3606 23 3.53   54095 45 53.0 , 0.0 , 22.88486108734214
2010 MZ112 ,OR , 14099 ,   712 , 11 10 41.83 -9 42 22.14 , 2429 16 27.13   36439 6 47.0 , 0.0 , 22.043452632824014
2010 MZ112 ,OR , 14276 ,   779 , 9 23 56.88 -5 26 53.3 , 2943 20 42.53   44150 10 38.0 , 0.0 , 22.0
2010 MZ112 , I , 15741 ,   890 , 10 15 1.37 1 53 21.77 , 1547 55 0.59   23218 45 8.9 , 0.0 , 20.656173420760375
2010 MZ112 , I , 16032 ,   568 , 10 27 15.72 -22 40 18.05 , 1607 18 34.25   24109 38 33.8 , 0.0 , 20.5
2010 MZ112 , I , 16036 ,   501 , 10 25 49.84 -22 21 53.24 , 1593 15 29.78   23898 52 26.7 , 0.0 , 20.5
2010 MZ112 , U , 18297 ,   503 , 11 28 17.82 -26 44 16.91 , 1068 28 25.33   16027 6 20.0 , 0.0 , 1004.1953781259591
2019 DP , J ,  2928 ,   577 , 13 47 19.91 -18 23 25.3 , 64 42 41.92   970 40 28.84 , 22.768 , 23.583683487038268
2011 BT59 , I , 12131 ,   824 , 12 9 1.33 -1 23 2.83 , 100 41 23.6   1510 20 54.0 , 20.352 , 20.5
2004 GE2 , J ,  1390 ,  NS 9 , 0 14 58.12 0 39 6.44 , 20 10 8.98   302 32 14.64 , 22.665 , 23.2798859261804
2004 GE2 , J ,  6794 , AS242 , 23 41 18.03 -2 39 8.93 , 16 13 36.47   243 24 7.09 , 23.02 , 23.52216095870054
2004 GE2 , J ,  6811 , AS243 , 0 0 53.96 0 27 16.42 , 15 15 0.75   228 45 11.25 , 23.213 , 23.5
2004 GE2 , J ,  6828 , AS213 , 0 19 36.94 1 39 1.76 , 14 17 47.88   214 26 58.13 , 23.394 , 23.5
2009 FZ10 ,HA ,  1040 ,   195 , 1 5 40.75 -47 52 8.0 , 60 48 14.67   912 3 40.0 , 23.938 , 1004.3515515467195
2011 KF36 ,UR , 15327 , 93BW3 , 22 35 19.08 0 15 31.39 , 302 18 49.73   4534 42 25.9 , 22.597 , 1002.8464015683995
2017 AB21 , R ,  5100 ,   866 , 2 29 35.33 2 9 42.8 , 17552 55 38.53   263293 54 38.0 , 22.485 , 23.0
2017 AB21 , J ,  9113 ,   859 , 23 53 30.28 -2 51 22.07 , 13287 24 43.93   199311 10 59.0 , 22.333 , 23.5
2017 AB21 ,VJ , 10920 , COM H , 19 25 6.24 -28 44 22.67 , 11757 13 7.8   176358 16 57.0 , 23.593 , 1000.7226890629795
2017 AB21 ,VJ , 10926 , COM H , 19 34 9.33 -28 41 1.32 , 12027 0 50.47   180405 12 37.0 , 23.547 , 1000.7226890629795
2012 BK14 , R ,  4287 ,   809 , 19 31 45.41 -7 14 57.05 , 3084 57 6.67   46274 16 40.0 , 23.982 , 1002.62628749458
2017 FB1 , J ,  8452 ,   719 , 13 19 17.14 -11 24 23.44 , 0 19 45.21   4 56 18.18 , 22.766 , 23.5
2013 NH6 ,HA , 17815 ,  MC22 , 5 43 40.39 -66 5 34.87 , 4 2 55.68   60 43 55.26 , 23.144 , 1003.9752640521396
2015 EO , J ,  6823 , AS244 , 11 53 8.4 0 21 56.99 , 42 15 39.37   633 54 50.58 , 20.027 , 23.5
2015 EO , J ,  6826 , AS253 , 11 54 41.47 -3 10 11.68 , 55 59 56.25   839 59 3.78 , 19.491 , 23.5
2015 EO , J ,  6836 , AS234 , 11 57 47.72 -11 9 37.62 , 86 56 23.71   1304 5 55.68 , 18.795 , 23.45276429888825
2006 WZ184 , R , 12025 ,   590 , 18 0 25.08 -18 59 57.91 , 6 32 27.79   98 6 56.91 , 23.763 , 1003.2226890629795
2004 VZ14 , V ,  8865 ,    N1 , 21 54 58.5 -17 53 20.54 , 64 5 50.25   961 27 33.8 , 20.55 , 21.247425010840047
2012 PB20 , J , 10328 ,    N1 , 0 9 37.01 14 8 21.37 , 0 1 39.87   0 24 58.09 , 23.5 , 23.7201140738196
2017 DA120 , J , 10874 , I4296 , 13 45 41.97 -34 42 2.99 , 769 52 56.61   11548 14 9.1 , 21.5 , 23.656173420760375
2017 DA120 , J , 10884 , I4296 , 13 42 30.87 -36 6 9.11 , 803 11 30.52   12047 52 37.8 , 21.405 , 23.62113751626007
2017 SC33 , J , 13812 ,  NEPT , 18 50 41.92 -19 35 4.24 , 104 14 50.11   1563 42 31.71 , 23.365 , 23.5
2017 SC33 , J , 13817 ,  NEPT , 18 51 43.09 -19 17 36.2 , 102 5 16.45   1531 19 6.7 , 23.406 , 23.5
2008 XU2 , U , 13300 ,   195 , 1 11 55.86 -48 39 36.47 , 44 47 58.18   671 59 32.75 , 21.805 , 1004.1953781259591
2018 XR4 ,HA ,  1061 ,       , 3 59 59.89 0 20 58.63 , 410 25 19.29   6156 19 49.4 , 21.098 , 1004.37371250542
2018 VC , J ,  1549 ,   381 , 12 40 1.86 -32 39 9.76 , 0 13 34.21   3 23 33.19 , 22.841 , 23.5
2014 CH13 ,IF , 11274 ,    WR , 17 42 7.34 -33 55 13.37 , 63 12 47.87   948 11 58.12 , 21.926 , 1002.62628749458
2014 CH13 ,IF , 11276 ,    WR , 17 43 23.51 -33 58 22.33 , 62 48 39.05   942 9 45.72 , 21.94 , 1002.7687166849636
2017 AT20 , R , 17611 ,   287 , 21 16 5.94 -44 59 53.77 , 188 7 9.39   2821 47 20.8 , 21.488 , 1003.9752640521396
2020 WZ3 , U , 12577 ,   503 , 11 19 43.9 -26 10 20.03 , 0 0 57.92   0 14 28.74 , 22.014 , 1003.5989765575596
2020 WZ3 , J , 13511 ,   838 , 4 54 21.87 -2 2 15.04 , 0 0 41.39   0 10 20.8 , 23.481 , 23.5
2007 SN6 , J , 13364 ,   818 , 22 14 36.03 -7 28 9.34 , 105 55 15.45   1588 48 51.78 , 22.832 , 23.5
