1950 DA , 3.027777777777778e-05 , UKST
1950 DA , 3.027777777777778e-05 , UKST
1950 DA , 1.0555555555555555e-05 , UKST
1950 DA , 1.0833333333333334e-05 , UKST
1999 RQ36 , 4.388888888888889e-05 , UKST
1999 RQ36 , 1.9999999999999998e-05 , UKST
1999 RQ36 , 2.8333333333333332e-05 , UKST
1999 RQ36 , 3.638888888888889e-05 , UKST
1999 RQ36 , 3.555555555555555e-05 , UKST
1979 XB , 125.56053416666667 , UKST
1979 XB , 0.0019633333333333334 , UKST
1979 XB , 0.001766111111111111 , UKST
1979 XB , 0.0026644444444444445 , UKST
1979 XB , 0.0014575 , UKST
1979 XB , 0.029463333333333334 , UKST
1979 XB , 18.215403055555555 , UKST
1979 XB , 1182.2835555555555 , UKST
2007 FT3 , 283.1361888888889 , UKST
2007 FT3 , 274.2804702777778 , UKST
2007 FT3 , 265.66012944444446 , UKST
2007 FT3 , 974.8091527777779 , UKST
2004 MN4 , 1.388888888888889e-05 , UKST
2004 MN4 , 6.11111111111111e-06 , UKST
2004 MN4 , 1.388888888888889e-06 , UKST
2004 MN4 , 5.555555555555555e-07 , UKST
2004 MN4 , 1.388888888888889e-06 , UKST
2014 MR26 , 3531.6568055555554 , UKST
2014 MR26 , 1166.87015 , UKST
2014 MR26 , 2108.0926972222223 , UKST
2014 MR26 , 2147.6148305555553 , UKST
2014 MR26 , 2147.823847222222 , UKST
2001 CA21 , 8613.601277777778 , UKST
2001 CA21 , 8608.85025 , UKST
2001 CA21 , 2148.2598777777775 , UKST
2001 CA21 , 2085.7896472222224 , UKST
2001 CA21 , 0.08245527777777778 , UKST
2001 CA21 , 0.07066694444444445 , UKST
2016 NL56 , 302.7094055555556 , UKST
2016 NL56 , 279.328375 , UKST
2016 NL56 , 279.3326666666667 , UKST
2016 NL56 , 640.9921361111111 , UKST
2016 NL56 , 30.699961666666663 , UKST
2001 VB , 73.33916583333333 , UKST
2015 ME131 , 0.00558 , UKST
2015 ME131 , 0.004258333333333334 , UKST
2016 WN55 , 590.3705638888888 , UKST
2016 WN55 , 1005.611225 , UKST
2016 WN55 , 671.7111027777778 , UKST
2007 DX40 , 3750.936861111111 , UKST
2017 RZ17 , 20458.62036111111 , UKST
2017 RZ17 , 16998.622444444445 , UKST
2017 RZ17 , 12498.3275 , UKST
2019 LW4 , 8.044172777777778 , UKST
2011 BL45 , 10.070425555555556 , UKST
2011 BL45 , 10.057776666666667 , UKST
2010 MY112 , 12524.498583333332 , UKST
2010 MY112 , 47372.44527777778 , UKST
2010 MY112 , 47364.505277777775 , UKST
2010 MY112 , 5455.948527777778 , UKST
2010 MY112 , 2496.8540194444445 , UKST
2010 MY112 , 2289.697388888889 , UKST
2013 GM3 , 366.4055 , UKST
2010 DG77 , 54362.14361111111 , UKST
2018 LF16 , 11345.98138888889 , UKST
2018 LF16 , 5577.878694444445 , UKST
2019 WU2 , 127.8949 , UKST
2010 XB73 , 21968.602166666667 , UKST
2006 CM10 , 60.738710555555556 , UKST
2011 CW46 , 902.8050722222222 , UKST
2014 MV67 , 75824.27055555556 , UKST
2014 MV67 , 9843.60738888889 , UKST
2006 CD , 8314.076666666666 , UKST
2006 CD , 22438.322722222223 , UKST
2006 CD , 22375.92897222222 , UKST
2006 CD , 22198.976416666665 , UKST
2017 QC36 , 1998.2798194444442 , UKST
2017 QC36 , 1345.1736416666668 , UKST
2016 NL39 , 582.2704694444444 , UKST
2018 YH2 , 8997.553805555555 , UKST
2010 MZ112 , 128927.06833333333 , UKST
2010 MZ112 , 44707.855 , UKST
2010 MZ112 , 37550.868055555555 , UKST
2010 MZ112 , 54095.76472222222 , UKST
2010 MZ112 , 36439.11305555556 , UKST
2010 MZ112 , 44150.17722222222 , UKST
2010 MZ112 , 23218.752472222222 , UKST
2010 MZ112 , 24109.642722222223 , UKST
2010 MZ112 , 23898.874083333336 , UKST
2010 MZ112 , 16027.105555555556 , UKST
2019 DP , 970.6746777777778 , UKST
2011 BT59 , 1510.3483333333334 , UKST
2004 GE2 , 302.5374 , UKST
2004 GE2 , 243.4019688888889 , UKST
2004 GE2 , 228.753125 , UKST
2004 GE2 , 214.44948 , UKST
2009 FZ10 , 912.0611111111111 , UKST
2011 KF36 , 4534.707194444444 , UKST
2017 AB21 , 263293.91055555554 , UKST
2017 AB21 , 199311.18305555556 , UKST
2017 AB21 , 176358.2825 , UKST
2017 AB21 , 180405.21027777778 , UKST
2012 BK14 , 46274.27777777778 , UKST
2017 FB1 , 4.938383333333333 , UKST
2013 NH6 , 60.73201722222222 , UKST
2015 EO , 633.91405 , UKST
2015 EO , 839.9843833333333 , UKST
2015 EO , 1304.0988 , UKST
2006 WZ184 , 98.11580861111112 , UKST
2004 VZ14 , 961.4593888888888 , UKST
2012 PB20 , 0.416135 , UKST
2017 DA120 , 11548.235861111112 , UKST
2017 DA120 , 12047.877166666665 , UKST
2017 SC33 , 1563.7088083333333 , UKST
2017 SC33 , 1531.3185277777777 , UKST
2008 XU2 , 671.9924305555555 , UKST
2018 XR4 , 6156.330388888889 , UKST
2018 VC , 3.3925525000000003 , UKST
2014 CH13 , 948.1994777777778 , UKST
2014 CH13 , 942.1627000000001 , UKST
2017 AT20 , 2821.789111111111 , UKST
2020 WZ3 , 0.24131694444444443 , UKST
2020 WZ3 , 0.17244333333333334 , UKST
2007 SN6 , 1588.8143833333334 , UKST
2019 PG , 14.345885 , UKST
2006 UC64 , 350.59089166666666 , UKST
2012 CR , 6300.439944444444 , UKST
2012 CR , 6241.189916666666 , UKST
2013 RR43 , 267.3416883333333 , UKST
2002 EM7 , 0.34799861111111113 , UKST
2018 DB , 3025.8308888888887 , UKST
2020 UC4 , 142.27768500000002 , UKST
2006 WK130 , 273.21567555555555 , UKST
2016 FV7 , 5.890520555555556 , UKST
2018 EL4 , 9.09916861111111 , UKST
2015 HE1 , 97.95465333333333 , UKST
2020 KS , 0.35260444444444444 , UKST
2014 OQ392 , 12788.421972222222 , UKST
2008 YC29 , 156.09398 , UKST
2012 YR1 , 757.9780527777779 , UKST
2020 OX4 , 128.44008944444445 , UKST
2014 YP44 , 265.9218841666667 , UKST
2014 YP44 , 252.95675277777778 , UKST
2021 EX2 , 547.3179083333333 , UKST
2021 EX2 , 2722.303266666667 , UKST
2021 EX2 , 1129.4120194444445 , UKST
2021 EX2 , 470.0126222222222 , UKST
2010 MA113 , 15995.173944444445 , UKST
2010 MA113 , 15995.516277777779 , UKST
2010 MA113 , 15996.007916666667 , UKST
2010 MA113 , 15942.85911111111 , UKST
2010 MA113 , 9261.956166666667 , UKST
2010 MA113 , 3016.919611111111 , UKST
2010 MA113 , 3799.024944444445 , UKST
2010 MA113 , 1840.4971361111113 , UKST
2010 MA113 , 1899.2340361111112 , UKST
2017 SM33 , 13775.027638888889 , UKST
2017 SM33 , 13446.651638888889 , UKST
2017 SM33 , 5946.936972222223 , UKST
2010 HS20 , 486.5831 , UKST
2017 XY2 , 3009.7814444444443 , UKST
