2016 FG60 , R ,  6371 ,   509 , 13 24 41.22 -24 18 58.86 , 0 0 1.47   0 0 22.0 , 23.246
2003 EG16 , R ,  7665 ,   473 , 0 17 17.92 -25 35 27.89 , 0 0 0.03   0 0 0.41 , 21.964
2020 XR , R ,  6400 ,   571 , 11 23 29.67 -21 29 55.72 , 0 0 0.04   0 0 0.56 , 23.014
2002 CU11 , R ,  6712 ,   211 , 8 54 56.95 -49 23 13.56 , 0 0 0.01   0 0 0.22 , 21.085
2014 SP142 , R ,  8245 ,   530 , 21 9 51.84 -25 46 27.23 , 0 0 2.32   0 0 34.74 , 22.841
2008 ER7 , R ,  6064 ,   516 , 16 3 35.18 -24 15 14.62 , 0 0 0.02   0 0 0.27 , 23.752
1998 MZ , R ,  5738 ,   525 , 19 25 14.24 -22 2 25.37 , 0 0 0.01   0 0 0.1 , 21.296
2001 XU30 , R ,  8145 ,   464 , 21 15 12.9 -30 15 48.38 , 0 0 0.04   0 0 0.66 , 22.44
2020 BC6 , R ,  4184 ,   450 , 15 51 58.41 -28 1 3.14 , 0 0 0.03   0 0 0.48 , 23.994
2000 YG29 , R ,  5361 ,   290 , 22 36 19.76 -42 55 16.64 , 0 0 0.01   0 0 0.18 , 21.212
1998 DV9 , R ,  6192 ,   600 , 21 31 37.27 -17 49 55.52 , 0 0 0.02   0 0 0.25 , 21.275
2003 YT1 , R ,  8248 ,    31 , 3 7 9.72 -73 45 58.97 , 0 0 0.0   0 0 0.06 , 17.763
1998 SS49 , R ,  4417 ,   465 , 21 17 48.58 -29 44 35.66 , 0 0 0.01   0 0 0.09 , 20.915
2002 SY50 , R ,  5785 ,   602 , 22 22 21.13 -20 54 59.87 , 0 0 0.01   0 0 0.17 , 20.266
2012 BJ86 , R ,  6558 ,   522 , 18 17 45.95 -24 39 21.1 , 0 0 0.78   0 0 11.7 , 22.373
1937 UB , R ,  6936 ,   395 , 18 29 57.78 -33 13 42.42 , 0 0 0.0   0 0 0.07 , 19.905
2005 UL5 , R ,  5797 ,   410 , 0 21 3.76 -28 6 41.29 , 0 0 0.02   0 0 0.26 , 21.018
2005 NZ6 , R ,  3853 ,   334 , 17 54 50.31 -37 13 15.2 , 0 0 0.01   0 0 0.15 , 20.331
2005 NZ6 , R ,  6494 ,   454 , 17 14 13.71 -29 3 40.64 , 0 0 0.01   0 0 0.08 , 20.985
2005 NZ6 , R ,  6936 ,   395 , 18 22 45.74 -33 31 41.05 , 0 0 0.01   0 0 0.12 , 22.007
2004 DV24 , R ,  6734 ,   319 , 11 16 17.63 -37 5 18.31 , 0 0 0.02   0 0 0.35 , 19.213
2017 NM6 , R ,  5541 ,   559 , 7 23 5.46 -17 33 0.0 , 0 0 0.4   0 0 5.93 , 23.264
1989 UP , R ,  6558 ,   522 , 18 7 28.19 -27 51 8.35 , 0 0 0.01   0 0 0.12 , 23.818
1989 AC , R ,  7515 ,   595 , 19 45 2.92 -21 1 46.31 , 0 0 0.0   0 0 0.01 , 16.189
2011 CT4 , R ,  6092 ,   579 , 14 31 3.78 -19 39 11.66 , 0 0 0.03   0 0 0.43 , 23.57
2011 CT4 , R ,  6095 ,   580 , 14 29 23.73 -19 32 15.79 , 0 0 0.03   0 0 0.43 , 23.524
2014 JO25 , R ,  6548 ,   180 , 17 4 0.35 -52 2 32.46 , 0 0 0.01   0 0 0.15 , 23.303
2010 DM56 , R ,  6040 ,   272 , 14 26 25.8 -46 2 51.94 , 0 0 0.11   0 0 1.64 , 22.097
2012 LR1 , R ,  8133 ,   109 , 22 40 26.13 -65 49 45.05 , 0 0 0.15   0 0 2.24 , 22.787
2003 UV11 , R ,  7564 ,   461 , 19 53 59.36 -30 49 28.88 , 0 0 0.01   0 0 0.18 , 22.544
2009 DM45 , R ,  5751 ,   145 , 21 25 29.53 -59 30 33.73 , 0 0 14.0   0 3 29.96 , 17.099
2008 XQ2 , R ,  6155 ,   182 , 18 11 16.61 -52 10 51.53 , 0 0 0.8   0 0 11.97 , 22.232
2015 RP82 , R ,  5552 ,   430 , 7 56 26.45 -30 51 9.94 , 0 0 1.02   0 0 15.35 , 20.486
2000 RS11 , R ,  5799 ,   468 , 22 43 4.68 -32 6 51.55 , 0 0 0.04   0 0 0.63 , 18.849
2008 CS1 , R ,  3065 ,   246 , 2 29 32.52 -44 30 33.26 , 0 0 0.07   0 0 1.04 , 22.658
2017 KN34 , R ,  3629 ,   168 , 10 13 48.0 -53 25 55.31 , 0 0 0.67   0 0 9.99 , 23.934
2016 CL264 , R ,  6256 ,   487 , 5 32 41.17 -24 1 20.14 , 0 0 0.1   0 0 1.44 , 23.742
2019 CE4 , R ,  5649 ,   333 , 17 28 48.85 -37 26 28.86 , 0 7 39.8   1 54 56.95 , 23.133
2008 WZ13 , R ,  5786 ,   531 , 21 30 19.11 -25 24 29.88 , 0 0 0.02   0 0 0.31 , 23.359
2006 VV2 , R ,  6120 ,   186 , 20 13 42.75 -57 40 21.65 , 0 0 0.01   0 0 0.18 , 20.01
2015 RH2 , R ,  5738 ,   525 , 19 23 54.76 -26 32 43.91 , 0 0 0.06   0 0 0.91 , 22.082
2002 UK11 , R ,  3845 ,   458 , 18 55 40.01 -32 0 24.55 , 0 0 0.03   0 0 0.44 , 23.668
2014 WG365 , R ,  6948 ,    67 , 14 33 11.7 -70 8 53.88 , 0 0 0.21   0 0 3.09 , 19.524
1998 QP , R ,  6570 ,   337 , 19 14 52.4 -38 34 30.61 , 0 0 0.04   0 0 0.63 , 21.764
2012 QG42 , R ,  6206 ,   460 , 19 45 35.51 -27 17 24.18 , 0 0 0.1   0 0 1.44 , 18.595
2012 QG42 , R ,  7486 ,   284 , 19 47 39.22 -43 3 42.48 , 0 0 0.07   0 0 1.04 , 20.979
2006 KV89 , R ,  5785 ,   602 , 22 18 39.76 -19 31 16.03 , 0 0 0.02   0 0 0.31 , 22.189
2015 KH157 , R ,  6235 ,   348 , 23 34 50.94 -39 52 32.12 , 0 0 0.06   0 0 0.92 , 23.596
2015 KH157 , R ,  8128 ,   399 , 19 49 9.02 -34 1 19.96 , 0 0 0.05   0 0 0.68 , 23.013
2012 XD112 , R ,  5738 ,   525 , 19 20 2.9 -27 12 23.11 , 0 0 0.07   0 0 1.04 , 22.388
2013 QU1 , R ,  4434 ,   156 , 4 9 1.29 -52 36 29.05 , 0 0 24.98   0 6 14.74 , 23.239
2007 HA , R ,  3645 ,   172 , 12 41 34.1 -57 24 41.72 , 0 0 0.31   0 0 4.72 , 20.533
2004 LJ1 , R ,  5936 ,   502 , 10 52 31.02 -25 53 50.89 , 0 0 0.01   0 0 0.19 , 20.197
2005 XJ8 , R ,  6695 ,   547 , 2 57 10.73 -22 4 55.2 , 0 0 0.02   0 0 0.28 , 20.362
2001 HA4 , R ,  5634 ,   332 , 16 39 14.35 -41 25 52.07 , 0 0 0.04   0 0 0.57 , 23.152
2001 HA4 , R ,  6572 ,   282 , 18 58 1.31 -44 11 57.19 , 0 0 0.04   0 0 0.6 , 23.999
2006 VC , R ,  6558 ,   522 , 18 16 15.57 -26 40 28.13 , 0 0 0.03   0 0 0.52 , 23.973
2013 US3 , R ,  5787 ,   538 , 0 4 5.17 -18 49 30.94 , 0 0 0.1   0 0 1.55 , 21.392
2011 QD48 , R ,  6644 ,   463 , 20 52 57.72 -32 21 34.24 , 0 0 0.02   0 0 0.35 , 20.445
1998 SL36 , R ,  6577 ,   224 , 15 32 49.32 -50 5 31.38 , 0 0 0.04   0 0 0.59 , 23.42
2004 UV1 , R ,  5718 ,   339 , 20 2 58.48 -39 15 40.07 , 0 0 0.04   0 0 0.65 , 23.642
2004 TB18 , R ,  5786 ,   531 , 21 41 57.32 -26 14 38.98 , 0 0 0.01   0 0 0.2 , 21.782
2010 TX168 , R ,  8743 ,   351 , 0 50 44.19 -32 57 21.17 , 0 0 0.03   0 0 0.39 , 22.167
2009 VZ , R ,  6085 ,   590 , 17 58 42.65 -21 14 41.93 , 0 0 0.03   0 0 0.49 , 23.792
2013 BK18 , R ,  6352 ,   437 , 10 34 43.67 -27 3 22.61 , 0 0 0.24   0 0 3.54 , 18.518
2013 BK18 , R ,  7173 ,   426 , 6 33 35.31 -27 58 35.62 , 0 0 0.05   0 0 0.72 , 21.186
2015 JD1 , R ,  5625 ,   440 , 11 50 44.12 -28 5 9.31 , 0 0 0.05   0 0 0.76 , 20.784
2015 JD1 , R ,  5629 ,   504 , 11 49 11.55 -27 27 15.59 , 0 0 0.05   0 0 0.76 , 20.775
2002 HK12 , R ,  6042 ,   578 , 14 8 32.93 -18 2 56.69 , 0 0 0.0   0 0 0.05 , 19.958
2014 YY8 , R ,  5654 ,   139 , 18 6 9.44 -58 21 14.58 , 0 0 0.39   0 0 5.83 , 19.617
6743 P-L , R ,  5680 ,   511 , 14 8 49.82 -26 16 36.66 , 0 0 0.06   0 0 0.9 , 17.819
2014 YW34 , R ,  5695 ,   329 , 15 36 30.91 -37 58 30.18 , 0 0 0.08   0 0 1.2 , 20.976
2006 CJ , R ,  6367 ,   443 , 13 5 45.75 -29 10 13.55 , 0 0 0.05   0 0 0.77 , 20.091
2003 NW1 , R ,  5717 ,   589 , 17 42 1.11 -17 2 32.14 , 0 0 0.05   0 0 0.82 , 19.158
2015 HB10 , R ,  6154 ,   515 , 15 37 0.61 -26 48 47.59 , 0 0 0.04   0 0 0.54 , 22.94
2003 ED50 , R ,  4500 ,   300 , 3 0 35.69 -37 36 56.12 , 0 0 0.05   0 0 0.81 , 23.57
1990 MU , R ,  7574 ,   232 , 19 43 53.28 -50 12 25.7 , 0 0 0.0   0 0 0.04 , 19.086
1990 MU , R ,  8263 ,   241 , 2 11 58.88 -34 8 36.85 , 0 0 0.01   0 0 0.16 , 16.989
1990 MU , R ,  8264 ,   355 , 2 11 58.88 -34 8 36.85 , 0 0 0.01   0 0 0.16 , 16.989
2012 MJ6 , R ,  6213 ,   467 , 22 24 20.15 -28 29 5.5 , 0 0 0.13   0 0 1.98 , 23.445
2016 FC15 , R ,  6089 ,   518 , 16 40 12.49 -25 52 2.24 , 0 0 2.11   0 0 31.6 , 23.176
2003 CR1 , R ,  5611 ,   327 , 14 42 45.76 -38 20 22.88 , 0 0 0.05   0 0 0.68 , 23.015
2003 CR1 , R ,  5623 ,   326 , 14 28 37.78 -38 42 41.87 , 0 0 0.05   0 0 0.73 , 22.844
2003 CR1 , R ,  6544 ,   387 , 15 6 32.93 -36 31 15.35 , 0 0 0.05   0 0 0.79 , 22.972
2016 QJ44 , R ,  6212 ,   526 , 19 36 56.81 -22 33 59.18 , 0 0 25.54   0 6 23.09 , 22.473
2013 QK48 , R ,  7034 ,   533 , 22 13 31.87 -24 24 20.3 , 0 0 0.05   0 0 0.74 , 22.299
2008 UZ94 , R ,  5611 ,   327 , 14 33 13.04 -38 29 52.66 , 0 0 0.04   0 0 0.54 , 22.756
2008 UZ94 , R ,  5623 ,   326 , 14 24 26.39 -38 0 30.74 , 0 0 0.04   0 0 0.56 , 22.635
2008 UZ94 , R ,  5663 ,   384 , 13 57 9.37 -35 7 15.2 , 0 0 0.04   0 0 0.59 , 22.428
2008 UZ94 , R ,  6085 ,   590 , 18 3 29.46 -19 18 45.83 , 0 0 0.04   0 0 0.6 , 22.584
2008 UZ94 , R ,  6867 ,   381 , 12 56 55.38 -37 21 30.96 , 0 0 0.04   0 0 0.6 , 22.227
2004 TP1 , R ,  8128 ,   399 , 20 9 16.68 -37 7 58.87 , 0 0 0.16   0 0 2.43 , 21.998
2002 QQ40 , R ,  6921 ,   594 , 19 38 6.07 -21 12 40.46 , 0 0 0.85   0 0 12.79 , 23.525
2015 FQ117 , R ,  5628 ,   277 , 16 47 51.3 -44 34 48.9 , 0 0 0.6   0 0 8.97 , 19.669
2013 GY7 , R ,  7722 ,   245 , 1 52 11.42 -47 11 28.03 , 0 0 0.07   0 0 1.01 , 21.676
2017 UY5 , R ,  6590 ,   536 , 23 38 2.2 -25 51 26.82 , 0 0 0.08   0 0 1.19 , 22.425
2001 XU10 , R ,  5599 ,   496 , 8 50 42.36 -26 50 11.51 , 0 0 0.02   0 0 0.32 , 18.775
2007 DS84 , R ,  5741 ,   336 , 18 25 36.87 -40 27 54.4 , 0 0 0.21   0 0 3.2 , 22.905
2006 SX217 , R ,  5787 ,   538 , 0 11 34.32 -18 28 29.96 , 0 0 0.04   0 0 0.58 , 20.749
2020 XD5 , R ,  6644 ,   463 , 20 51 22.78 -32 23 50.71 , 0 9 45.63   2 26 24.48 , 21.822
2003 AA3 , R ,  6234 ,   288 , 21 49 46.05 -46 0 39.28 , 0 0 0.05   0 0 0.79 , 21.36
2020 VZ5 , R ,  5913 ,   126 , 9 51 14.3 -57 5 14.03 , 0 0 10.57   0 2 38.5 , 21.681
2002 GO5 , R ,  6158 ,   280 , 18 10 52.08 -42 45 37.73 , 0 0 0.02   0 0 0.27 , 22.888
2010 BK2 , R ,  6775 ,   445 , 14 0 10.46 -29 40 31.66 , 0 0 0.11   0 0 1.66 , 22.606
2020 QF6 , R ,  5880 ,    59 , 7 17 34.2 -69 25 59.34 , 0 3 18.14   0 49 32.05 , 21.129
2016 CC30 , R ,  7614 ,   301 , 3 42 12.52 -37 22 48.58 , 0 0 1.21   0 0 18.16 , 23.421
2016 CC30 , R ,  7642 ,   249 , 3 39 59.24 -42 59 49.34 , 0 0 1.33   0 0 19.97 , 23.175
2004 RF84 , R ,  6461 ,   176 , 14 36 4.44 -53 29 14.5 , 0 0 0.01   0 0 0.2 , 20.453
2020 RH7 , R ,  8749 ,   472 , 23 48 12.39 -22 19 33.78 , 0 1 31.6   0 22 54.05 , 21.978
2015 TY237 , R ,  5802 ,   604 , 23 18 17.46 -19 19 31.01 , 0 0 1.66   0 0 24.88 , 22.61
2015 TY237 , R ,  5819 ,   605 , 23 18 8.08 -17 35 44.95 , 0 0 1.33   0 0 19.91 , 23.11
2004 VC , R ,  3575 ,   129 , 11 11 46.08 -57 0 37.8 , 0 0 0.04   0 0 0.56 , 20.765
2004 VC , R ,  6711 ,   200 , 3 13 50.93 -51 28 5.56 , 0 0 0.03   0 0 0.46 , 20.875
2019 FH , R ,  6551 ,   581 , 14 51 44.11 -17 14 1.32 , 0 0 0.11   0 0 1.64 , 23.802
2001 LD , R ,  7644 ,   550 , 3 59 57.68 -20 13 30.04 , 0 0 0.14   0 0 2.13 , 22.991
