1950 DA , R ,  7230 ,   673 , 21 55 43.26 -16 52 27.77 , 0 0 0.01   0 0 0.11 , 19.261 , 23.057196863200843
1950 DA , J ,  7231 ,   673 , 21 55 41.03 -16 51 41.83 , 0 0 0.01   0 0 0.11 , 19.265 , 23.656173420760375
1950 DA ,OR , 17505 ,   859 , 23 51 54.46 -2 20 13.7 , 0 0 0.0   0 0 0.04 , 21.211 , 22.0
1950 DA ,OR , 17542 ,   860 , 0 31 24.49 2 57 45.14 , 0 0 0.0   0 0 0.04 , 21.548 , 22.0
1999 RQ36 , J ,  2375 ,   341 , 20 33 26.49 -37 39 59.94 , 0 0 0.01   0 0 0.16 , 21.04 , 23.5
1999 RQ36 , R ,  3334 , M 104 , 12 39 39.78 -12 50 32.82 , 0 0 0.0   0 0 0.07 , 23.096 , 1003.8190906313791
1999 RQ36 , J ,  7707 ,    N1 , 18 37 2.39 -34 23 20.0 , 0 0 0.01   0 0 0.1 , 21.948 , 22.105758226622413
1999 RQ36 , J ,  8468 ,    N1 , 8 24 44.07 20 37 17.0 , 0 0 0.01   0 0 0.13 , 21.092 , 23.543452632824014
1999 RQ36 , J ,  8470 ,    N1 , 8 31 26.31 19 43 32.81 , 0 0 0.01   0 0 0.13 , 21.159 , 23.5
1979 XB , J ,  5523 ,   420 , 4 24 4.72 -29 36 8.53 , 0 0 0.47   0 0 7.07 , 15.24 , 23.543452632824014
1979 XB ,UV ,  5526 ,       , 3 44 58.52 -35 4 16.07 , 0 0 0.42   0 0 6.36 , 14.797 , 1002.62628749458
1979 XB ,UV ,  5528 ,    NS , 3 9 30.79 -38 50 16.73 , 0 0 0.64   0 0 9.59 , 14.619 , 1002.62628749458
1979 XB ,UV ,  5529 ,    NS , 2 16 48.48 -42 40 18.08 , 0 0 0.35   0 0 5.25 , 14.555 , 1002.25
1979 XB , R ,  5571 ,   843 , 18 28 18.48 2 48 57.35 , 0 0 7.07   0 1 46.07 , 22.0 , 22.027310937020445
2004 MN4 , J ,  1875 ,  NS F , 11 59 55.53 -1 54 21.02 , 0 0 0.0   0 0 0.05 , 22.31 , 23.583683487038268
2004 MN4 , J ,  8237 ,   894 , 11 35 7.69 0 30 20.27 , 0 0 0.0   0 0 0.02 , 21.961 , 23.123712505420023
2004 MN4 , U , 11361 ,   823 , 11 57 12.37 0 1 40.62 , 0 0 0.0   0 0 0.0 , 21.963 , 1004.3515515467195
2004 MN4 , J , 12757 ,   653 , 15 30 58.15 -15 47 22.02 , 0 0 0.0   0 0 0.0 , 21.153 , 22.747425010840047
2004 MN4 ,OR , 16301 ,  93SC , 12 3 47.22 0 44 17.2 , 0 0 0.0   0 0 0.0 , 21.918 , 22.0
2001 CA21 ,OR , 19090 , VIRGO , 12 26 0.54 13 51 38.99 , 0 0 19.79   0 4 56.84 , 18.96 , 22.0
2001 CA21 ,OR , 19094 , VIRGO , 12 31 12.68 13 49 18.91 , 0 0 16.96   0 4 14.4 , 18.868 , 22.0
2015 ME131 , J ,  1188 , IWAB5 , 21 38 9.54 -1 36 4.07 , 0 0 1.34   0 0 20.09 , 21.499 , 23.2798859261804
2015 ME131 , J , 15984 ,   856 , 22 57 20.82 0 48 4.14 , 0 0 1.02   0 0 15.33 , 21.268 , 23.583683487038268
2020 WZ3 , U , 12577 ,   503 , 11 19 43.9 -26 10 20.03 , 0 0 57.92   0 14 28.74 , 22.014 , 1003.5989765575596
2020 WZ3 , J , 13511 ,   838 , 4 54 21.87 -2 2 15.04 , 0 0 41.39   0 10 20.8 , 23.481 , 23.5
2002 EM7 , U , 10076 ,   581 , 14 59 17.57 -21 52 28.85 , 0 1 23.52   0 20 52.8 , 22.898 , 1003.5989765575596
2020 KS , J ,  9753 ,   766 , 5 0 20.74 -2 7 3.25 , 0 1 24.63   0 21 9.38 , 20.217 , 23.656173420760375
